"id","ta_abbr","tech_area","cntr_abbr","country","priority"
1,"p1","National legislation, Policy and Financing","AFG","afghanistan","Establish a national committee of legal advisors and public health officers representing the different sectors relevant to IHR, including the IHR NFP, to review the national legislation, decrees, policies and administrative procedures to identify gaps and corrective measures to accelerate the implementation of IHR."
2,"p6","Biosafety and Biosecurity","AFG","afghanistan","Strengthen the biosafety/biosecurity comprehensive system to involve human, animal and agriculture sectors countrywide, not only at central level, but also at lower-level laboratories since these are Involved in sample collection and packaging. Implement pathogen control measures including an updated record and inventory of pathogens within facilities that store or process dangerous pathogens and toxins. Develop a national biosafety and biosecurity coordination/guiding document, including legislation/ regulations to guide countrywide biosafety/biosecurity issues, including monitoring of private laboratories."
3,"p7","Immunization","AFG","afghanistan","Support microplanning through the Reaching Every District strategy using community health workers (CHW) and BASIC tools to improve immunization services and immunization data quality and use. Improve immunization coverage and equitable access by upgrading health sub-centres to become EPI fixed centres, and increasing the vaccinator workforce (200 new vaccinators to be trained). Improve denominator estimation through surveys to take into account the internal displaced population, nomads and returnees."
4,"d1","National Laboratory System","AFG","afghanistan","Institute the requirement for immediate routine reporting of laboratory diagnostic results to the infectious disease surveillance department. 2 Finalize and endorse the national laboratory policy: develop annual national laboratory strategic and operational plans, which should be reviewed and updated at annual budget cycles. Develop SOPs for immediate data exchange and joint analysis of zoonotic, food- and waterborne diseases between the MoPH and MAIL. Strengthen capacities of regional/provincial laboratories."
5,"d3","Reporting","AFG","afghanistan","Review the ToR of the IHR NFP and ensure that potential public health emergencies of international concern (PHEIC) are notified to WHO. Identify focal points in the different sectors and develop SOPs for information sharing related to potential PHEIC among these and the IHR NFP. Organize workshops involving the different stakeholders to train them on the use of the IHR Annex 2.3"
6,"d4","Workforce Development","AFG","afghanistan","Include public health specialists in the workforce planning and health workforce statistics as part of the HRH strategy. Identify partners for extending the F, either in-country or abroad. Include public health expertise in the current training needs assessments by the MoPH and MAIL. Ensure the availability of multidisciplinary rapid response teams at the different administrative levels. 32 of IHR Core Capacities of the Islamic Republic of Afghanistan"
7,"r1","Preparedness","AFG","afghanistan","Review and update the national disaster management plan and national health emergency response plan according to results of the health emergency risk assessment and the IHR JEE. Test the updated national health emergency response plan to ensure its functionality with a focus on outbreaks within an multi-hazard framework. Enhance cooperation of all MoPH departments concerned with IHR, including EPR, communicable disease management, EHIS including disease surveillance, and the Afghanistan National Public Health Institute. Review and update the national risk assessment on an annual basis in collaboration with the different stakeholders. Establish a national health emergency stockpile."
8,"r2","Emergency Response Operations","AFG","afghanistan","Integrate relevant IHR-related functions with CCC under EPR for coordinated risk assessment and response to all public health events. Establish linkages between the polio emergency operations centre and the national CCC. Establish links between the national CCC and provincial surveillance units, with regional and provincial CCCs links to be considered in the longer term. Develop contingency plans and case management guidelines for different IHR-related hazards. 38 of IHR Core Capacities of the Islamic Republic of Afghanistan"
9,"r3","Linking Public Health and Security Authorities","AFG","afghanistan","Develop joint SOPs between public health and security authorities (e.g. joint investigation of outbreaks, requests for assistance, identification of responsible focal points). Increase participation of the security authorities in training courses and other public health emergency preparedness activities (e.g. exercises), particularly at provincial levels."
10,"r4","Medical Countermeasures and Personnel Deployment","AFG","afghanistan","Review and update the existing disaster management law, pandemic influenza plan and other relevant documents in relation to sending and receiving medical countermeasures and personnel deployment to respond to public health emergencies. Develop SOPs to operationalize the sending and receiving of medical countermeasures and personnel deployment. Consider establishing formal agreements (multisectoral) with international organizations and networks to facilitate the response to public health emergencies."
11,"r5","Risk Communication","AFG","afghanistan","Develop a national strategic framework and plan for multi-hazard risk communication. Establish a dedicated core team for risk communication at national and provincial levels. Develop SOPs for communications coordination between sectors and partners. Organize cross-sector training activities on multi-hazard risk communication, and ensure the involvement of spokespersons from all key ministries and agencies. Formalize the rumour tracking system. 46 of IHR Core Capacities of the Islamic Republic of Afghanistan"
